level_0,index,Event Id,Investigation Type,Accident Number,Event Date,Location,Country,Latitude,Longitude,Airport Code,Airport Name,Injury Severity,Aircraft Damage,Aircraft Category,Registration Number,Make,Model,Amateur Built,Number Of Engines,Engine Type,Far Description,Schedule,Purpose Of Flight,Air Carrier,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Weather Condition,Broad Phase Of Flight,Report Status,Publication Date,Make/Model,Year
25,32056,20001211X11685,Incident,DEN93IA025,1993-01-08,"DENVER, CO",United States,,,,,Incident,,,N601UA,Boeing,767-222,No,2.0,Unknown,,SCHD,Unknown,United Airlines,0.0,0.0,0.0,208.0,VMC,Cruise,Probable Cause,03-11-1993,Boeing - 767-222,1993
26,32057,20001211X11664,Incident,CHI93IA068,1993-01-08,"DETROIT, MI",United States,,,DTW,DETROIT METROPOLITAN,Incident,,,N826MA,De Havilland,DHC-8-102,No,2.0,Turbo Prop,,SCHD,Unknown,"Mesaba Aviation, Inc.",0.0,0.0,0.0,9.0,VMC,Climb,Probable Cause,03-11-1993,De Havilland - DHC-8-102,1993
28,32059,20001211X11736,Accident,MIA93LA047,1993-01-09,"NEW SMYRNA BCH, FL",United States,,,,,Fatal(1),Destroyed,,N1443S,Cessna,337H,No,2.0,Reciprocating,,,Personal,,1.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,10-02-1994,Cessna - 337H,1993
29,32060,20001211X11665,Incident,CHI93IA069,1993-01-09,"SAVOY, IL",United States,,,CMI,U. OF I. WILLARD APT,Incident,Minor,,N433AW,De Havilland,DHC-8-311,No,2.0,Turbo Prop,,SCHD,Unknown,"Air Wisconsin, Inc. (dba: United Express)",0.0,0.0,0.0,40.0,VMC,Takeoff,Probable Cause,03-11-1993,De Havilland - DHC-8-311,1993
31,32062,20001211X11692,Incident,FTW93IA064,1993-01-10,"DFW AIRPORT, TX",United States,,,DFW,DFW INTERNATIONAL,Incident,,,N7532A,Mcdonnell Douglas,DC9-82,No,2.0,Turbo Fan,,SCHD,Unknown,American Airlines,0.0,0.0,5.0,84.0,VMC,Landing,Probable Cause,03-11-1993,Mcdonnell Douglas - DC9-82,1993
33,32064,20001211X11657,Accident,BFO93LA020,1993-01-10,"MANCHESTER, NH",United States,,,MHT,MANCHESTER,Non-Fatal,Substantial,,N245RP,Dornier,DO-228-202,No,2.0,Turbo Prop,,SCHD,Unknown,Precision Airlines,0.0,0.0,0.0,5.0,VMC,Takeoff,Probable Cause,13-10-1993,Dornier - DO-228-202,1993
34,32065,20001211X11755,Incident,SEA93IA050,1993-01-11,"RIVERTON, WY",United States,,,RIW,RIVERTON REGIONAL,Incident,Minor,,N34010,Beech,1900C,No,2.0,Turbo Prop,,SCHD,Unknown,Britt Airways/continental Exp.,0.0,0.0,0.0,11.0,IMC,Taxi,Probable Cause,13-10-1993,Beech - 1900C,1993
36,32067,20001211X11672,Accident,CHI93LA070,1993-01-11,"SUSANK, KS",United States,,,,,Non-Fatal,Substantial,,N712AC,Aero Commander,500-B,No,2.0,Reciprocating,,NSCH,Unknown,"Central Airlines, Inc. (dba: Central Air Southwest)",0.0,1.0,0.0,0.0,IMC,Approach,Probable Cause,26-08-1994,Aero Commander - 500-B,1993
41,32072,20001211X11756,Accident,SEA93LA051,1993-01-14,"HANKSVILLE, UT",United States,,,HVE,HANKSVILLE AIRPORT,Non-Fatal,Substantial,,N550TH,Beech,58P,No,2.0,Reciprocating,,,Ferry,,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,13-10-1993,Beech - 58P,1993
47,32078,20001211X11707,Accident,LAX93FA095,1993-01-15,"RENO, NV",United States,,,RNO,RENO CANNON I'NTL,Fatal(2),Destroyed,,N4733G,Cessna,414,No,2.0,Reciprocating,,,Personal,,2.0,0.0,0.0,0.0,IMC,Takeoff,Probable Cause,03-11-1993,Cessna - 414,1993
48,32079,20001211X11693,Incident,FTW93IA067,1993-01-15,"DFW AIRPORT, TX",United States,,,,,Incident,Minor,,N8041U,Mcdonnell Douglas,DC8-55,No,4.0,Turbo Jet,,NSCH,Unknown,Zantop International,0.0,0.0,0.0,3.0,VMC,Climb,Probable Cause,03-12-1993,Mcdonnell Douglas - DC8-55,1993
53,32084,20001211X11744,Accident,MIA93WA049,1993-01-16,"WALKERS CAY, Bahamas",Bahamas,,,,,Fatal(2),Destroyed,,N99ZG,Beech,95-B55B,No,2.0,Reciprocating,,,Personal,,2.0,0.0,0.0,0.0,VMC,,Foreign,06-02-1995,Beech - 95-B55B,1993
55,32086,20001211X11757,Accident,SEA93LA053,1993-01-16,"JOHN DAY, OR",United States,,,5J0,JOHN DAY,Non-Fatal,Substantial,,N161RS,Swearingen,SA-226T(B),No,2.0,Turbo Prop,,,Business,,0.0,0.0,0.0,7.0,VMC,Landing,Probable Cause,13-10-1993,Swearingen - SA-226T(B),1993
66,32097,20001211X11639,Accident,ANC93FA027,1993-01-18,"TELLER, AK",United States,,,,,Fatal(1),Destroyed,,N1776G,Cessna,310,No,2.0,Reciprocating,,,Unknown,,1.0,0.0,0.0,0.0,VMC,Descent,Probable Cause,28-02-1994,Cessna - 310,1993
76,32107,20001211X11723,Accident,LAX93LA105,1993-01-22,"PACOIMA, CA",United States,,,WHP,WHITEMAN,Non-Fatal,Substantial,,N4458S,Beech,58P,No,2.0,Reciprocating,,,Business,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,25-10-1993,Beech - 58P,1993
85,32116,20001211X11687,Accident,DEN93LA023,1993-01-23,"GREELEY, CO",United States,,,GXY,WELD COUNTY AIRPORT,Non-Fatal,Substantial,,N3303X,Cessna,310L,No,2.0,Reciprocating,,,Instructional,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,13-10-1993,Cessna - 310L,1993
88,32119,20001211X11710,Accident,LAX93FA103,1993-01-24,"ELOY, AZ",United States,,,E60,ELOY,Non-Fatal,Destroyed,,N2144P,Piper,PA-23-150,No,2.0,Reciprocating,,,Personal,,0.0,4.0,0.0,0.0,VMC,Takeoff,Probable Cause,28-02-1994,Piper - PA-23-150,1993
92,32123,20001211X11666,Incident,CHI93IA078,1993-01-26,"DETROIT, MI",United States,,,,,Incident,,,N452US,Fokker,F-28 MK 1000,No,2.0,Turbo Jet,,SCHD,Unknown,Usair (dba: Usair),0.0,0.0,0.0,42.0,VMC,Descent,Probable Cause,26-08-1994,Fokker - F-28 MK 1000,1993
93,32124,20001211X11678,Accident,CHI93LA077,1993-01-26,"MINOCQUA, WI",United States,,,ARV,LAKELAND/NOBLE LEE FIELD,Non-Fatal,Substantial,,N37224,Cessna,310R,No,2.0,Reciprocating,,NSCH,Unknown,Dewitt Enterprises Inc. (dba: Midwest Aire),0.0,0.0,1.0,1.0,IMC,Cruise,Probable Cause,25-10-1993,Cessna - 310R,1993
102,32133,20001211X11748,Accident,NYC93LA056,1993-01-28,"WEST DOVER, VT",United States,,,4V8,MOUNT SNOW,Non-Fatal,Substantial,,N40586,Piper,PA-23-250,No,2.0,Reciprocating,,,Personal,,0.0,0.0,0.0,5.0,IMC,Takeoff,Probable Cause,13-10-1993,Piper - PA-23-250,1993
107,32138,20001211X11704,Accident,FTW93LA077,1993-01-29,"MARFA, TX",United States,,,MRF,MARFA MUNICIPAL,Non-Fatal,Substantial,,N363N,Beech,65-A90,No,2.0,Turbo Prop,,,Executive/corporate,,0.0,0.0,0.0,8.0,IMC,Approach,Probable Cause,25-10-1993,Beech - 65-A90,1993
117,32148,20001211X11727,Accident,LAX93LA109,1993-01-31,"COLUMBIA, CA",United States,,,O22,COLUMBIA,Non-Fatal,Substantial,,N16SC,Piper,PA-31,No,2.0,Reciprocating,,,Business,,0.0,0.0,0.0,3.0,VMC,Approach,Probable Cause,15-11-1993,Piper - PA-31,1993
129,32160,20001211X11781,Accident,ATL93MA055,1993-02-03,"MARIETTA, GA",United States,,,MGE,DOBBINS AFB,Fatal(7),Destroyed,,N130X,Lockheed,L382E-44K-20,No,4.0,Turbo Prop,,,Unknown,,7.0,0.0,0.0,0.0,VMC,Other,Probable Cause,18-03-1994,Lockheed - L382E-44K-20,1993
146,32177,20001211X11867,Accident,MIA93LA064,1993-02-07,ATLANTIC OCEAN,ATLANTIC OCEAN,,,,,Fatal(1),Destroyed,,N5044Y,Piper,PA-23-250,No,2.0,Reciprocating,,,Ferry,,1.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,10-02-1994,Piper - PA-23-250,1993
155,32186,20001211X11776,Accident,ATL93FA060,1993-02-09,"NASHVILLE, TN",United States,,,JWN,JOHN C. TUNE,Non-Fatal,Destroyed,,N861CP,Cessna,337D,No,2.0,Reciprocating,,,Personal,,0.0,1.0,0.0,0.0,VMC,Approach,Probable Cause,03-11-1993,Cessna - 337D,1993
159,32190,20001211X11834,Accident,LAX93FA112,1993-02-10,"TRUCKEE, CA",United States,,,,,Fatal(4),Destroyed,,N711LT,Cessna,414,No,2.0,Reciprocating,,,Personal,,4.0,0.0,0.0,0.0,IMC,Takeoff,Probable Cause,03-12-1993,Cessna - 414,1993
160,32191,20001211X11824,Accident,FTW93LA083,1993-02-10,"ARDMORE, OK",United States,,,,,Non-Fatal,Destroyed,,N34UA,Swearingen,SA-26AT,No,2.0,Turbo Prop,,,Personal,,0.0,0.0,0.0,1.0,VMC,Maneuvering,Probable Cause,25-10-1993,Swearingen - SA-26AT,1993
162,32193,20001211X11882,Incident,NYC93IA064,1993-02-11,"NEWARK, NJ",United States,,,EWR,NEWARK INTERNATIONAL,Incident,,,N79771,Boeing,727-200,No,3.0,Turbo Jet,,SCHD,Unknown,"Continental Airlines, Inc.",0.0,0.0,0.0,67.0,VMC,Taxi,Probable Cause,03-12-1993,Boeing - 727-200,1993
165,32196,20001211X11825,Accident,FTW93LA084,1993-02-11,"RUSTON, LA",United States,,,RSN,RUSTON MUNICIPAL,Non-Fatal,Substantial,,N6290Y,Piper,PA-23-250,No,2.0,Reciprocating,,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,28-05-1993,Piper - PA-23-250,1993
170,32201,20001211X11816,Incident,DEN93IA027,1993-02-13,"GRAND JUNCTION, CO",United States,,,,,Incident,,,N508UA,Boeing,757-222,No,2.0,Turbo Fan,,SCHD,Unknown,United Airlines,0.0,0.0,0.0,47.0,VMC,Cruise,Probable Cause,03-11-1993,Boeing - 757-222,1993
171,32202,20001211X11785,Incident,BFO93IA026,1993-02-13,"PORTLAND, ME",United States,,,PWM,PORTLAND INT'L JETPORT,Incident,,,N403PE,Boeing,737-130,No,2.0,Turbo Fan,,SCHD,Unknown,"Continental Airlines, Inc.",0.0,0.0,0.0,99.0,IMC,Landing,Probable Cause,03-11-1993,Boeing - 737-130,1993
176,32207,20001211X11775,Accident,ATL93FA058,1993-02-14,"GENEVA, AL",United States,,,33J,GENEVA MUNICIPAL,Fatal(2),Destroyed,,N69402,Cessna,402B,No,2.0,Reciprocating,,,Other Work Use,,2.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,03-11-1993,Cessna - 402B,1993
188,32219,20001211X11881,Accident,MIA93WA078,1993-02-17,"AURILLAC, FRANCE",France,,,,,Non-Fatal,Substantial,,N85JM,Dassault-Breguet,FALCON 10,No,2.0,Turbo Fan,,,Personal,,0.0,0.0,0.0,9.0,VMC,,Foreign,16-03-1995,Dassault-Breguet - FALCON 10,1993
192,32223,20001211X11829,Accident,FTW93LA088,1993-02-18,"CLOVIS, NM",United States,,,CVN,CLOVIS MUNICIPAL,Non-Fatal,Substantial,,N2666J,Cessna,340A,No,2.0,Reciprocating,,,Executive/corporate,,0.0,0.0,0.0,3.0,IMC,Landing,Probable Cause,25-10-1993,Cessna - 340A,1993
194,32225,20001211X11788,Accident,BFO93LA028,1993-02-18,"PITTSFIELD, ME",United States,,,2B7,PITTSFIELD MUNI,Non-Fatal,Substantial,,N6192A,Piper,PA-31T1,No,2.0,Turbo Prop,,,Executive/corporate,,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,13-10-1993,Piper - PA-31T1,1993
201,32232,20001211X11789,Accident,BFO93LA029,1993-02-19,"LINCOLN PARK, NJ",United States,,,N07,LINCOLN PARK,Non-Fatal,Substantial,,N67K,Agusta,A109AII,No,2.0,Turbo Shaft,,,Positioning,,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,25-10-1993,Agusta - A109AII,1993
203,32234,20001211X11766,Accident,ANC93FA034,1993-02-20,"NOME, AK",United States,,,OME,NOME,Non-Fatal,Destroyed,,N4182G,Cessna,402C,No,2.0,Reciprocating,,SCHD,Unknown,Ryan Air Service,0.0,0.0,0.0,2.0,IMC,Takeoff,Probable Cause,15-11-1993,Cessna - 402C,1993
210,32241,20001211X11806,Accident,CHI93LA093,1993-02-20,"CANNONBALL, ND",United States,,,,,Non-Fatal,Substantial,,N4229P,Piper,PA-23-160,No,2.0,Reciprocating,,,Personal,,0.0,0.0,0.0,3.0,VMC,Cruise,Probable Cause,25-10-1993,Piper - PA-23-160,1993
219,32250,20001211X11783,Accident,BFO93FA033,1993-02-23,"LEMONT, PA",United States,,,,UNIVERSITY PARK,Fatal(1),Destroyed,,N47E,Beech,E18S,No,2.0,Reciprocating,,NSCH,Unknown,Centre Airlines,1.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,03-11-1993,Beech - E18S,1993
220,32251,20001211X11863,Accident,MIA93FA073,1993-02-23,"FORT LAUDERDALE, FL",United States,,,FLL,FT LAUDERDALE HOLLYWOOD,Non-Fatal,Substantial,,N678DL,Boeing,757-232,No,2.0,Turbo Fan,,SCHD,Unknown,Delta Airlines,0.0,0.0,0.0,191.0,IMC,Climb,Probable Cause,20-10-1994,Boeing - 757-232,1993
222,32253,20001211X11807,Accident,CHI93LA094,1993-02-23,"ALBERT LEA, MN",United States,,,AEL,ALBERT LEA MUNICIPAL,Non-Fatal,Substantial,,N442TC,Beech,B90,No,2.0,Turbo Prop,,,Executive/corporate,,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,10-02-1994,Beech - B90,1993
224,32255,20001211X11892,Accident,SEA93LA067,1993-02-24,"SEATTLE, WA",United States,,,BFI,BOEING FIELD,Non-Fatal,Substantial,,N63978,Beech,C-99,No,2.0,Turbo Prop,,,Positioning,,0.0,0.0,0.0,2.0,VMC,Standing,Probable Cause,13-10-1993,Beech - C-99,1993
233,32264,20001211X11820,Accident,FTW93FA092,1993-02-27,"CENTER POINT, TX",United States,,,ERW,KERRVILLE MUNICIPAL,Fatal(2),Destroyed,,N88KH,Cessna,340A,No,2.0,Reciprocating,,,Personal,,2.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,19-11-1993,Cessna - 340A,1993
260,32291,20001211X12037,Accident,SEA93FA071,1993-03-02,"OAKLEY, UT",United States,,,,,Fatal(2),Destroyed,,N3103P,Cessna,402B,No,2.0,Reciprocating,,NSCH,Unknown,(dba: Flight Line Inc),2.0,0.0,0.0,0.0,UNK,Cruise,Probable Cause,03-12-1993,Cessna - 402B,1993
264,32295,20001211X11944,Accident,CHI93LA101,1993-03-02,"CHESTERFIELD, MO",United States,,,SUS,SPIRIT OF ST. LOUIS,Non-Fatal,Substantial,,N7257T,Beech,200,No,2.0,Turbo Prop,,,Business,,0.0,0.0,0.0,6.0,IMC,Landing,Probable Cause,15-11-1993,Beech - 200,1993
265,32296,20001211X11917,Accident,BFO93LA039,1993-03-02,"OWENSBORO, KY",United States,,,OWB,OWENSBORO-DAVIESS CO,Non-Fatal,Substantial,,N26CP,Cessna,335,No,2.0,Reciprocating,,,Business,,0.0,0.0,0.0,2.0,IMC,Landing,Probable Cause,06-02-1996,Cessna - 335,1993
266,32297,20001211X11964,Accident,DEN93FA031,1993-03-03,"PANAMA CITY, FL",United States,,,PFN,PANAMA CITY-BAY COUNTY,Fatal(1),Destroyed,,N90399,"Smith, Ted Aerostar",AEROSTAR 600,No,2.0,Reciprocating,,NSCH,Unknown,"Cherokee Leasing, Inc. (dba: Cherokee Express Air Cargo)",1.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,28-02-1994,"Smith, Ted Aerostar - AEROSTAR 600",1993
271,32302,20001211X11962,Incident,DCA93IA027,1993-03-04,"NEWARK, NJ",United States,,,,,Incident,,,N99838,Aerospatiale,ATR42-300,No,2.0,Turbo Prop,,SCHD,Unknown,Britt Airways,0.0,0.0,0.0,34.0,IMC,Approach,Probable Cause,21-08-2001,Aerospatiale - ATR42-300,1993
274,32305,20001211X11924,Accident,BFO93LA048,1993-03-05,"PHILADELPHIA, PA",United States,,,PHL,PHILADELPHIA INTL,Non-Fatal,,,N175RA,De Havilland,DHC-7-102,No,4.0,Turbo Prop,,SCHD,Unknown,Trans World Express (dba: Trans World Express),0.0,1.0,0.0,11.0,VMC,Approach,Probable Cause,28-02-1994,De Havilland - DHC-7-102,1993
276,32307,20001211X11978,Accident,FTW93LA095,1993-03-05,"MIDLOTHIAN, TX",United States,,,4T6,MIDLOTHIAN,Non-Fatal,Substantial,,N800VT,Beech,65-A90,No,2.0,Turbo Prop,,,Executive/corporate,,0.0,0.0,0.0,5.0,VMC,Cruise,Probable Cause,25-10-1993,Beech - 65-A90,1993
284,32315,20001211X12020,Incident,MIA93IA083,1993-03-07,"EVERGLADES CITY, FL",United States,,,XO1,EVERGLADES,Incident,Minor,,N3836C,Aero Commander,500,No,2.0,Reciprocating,,NSCH,Unknown,Palm Beach Aviation,0.0,0.0,0.0,7.0,VMC,Takeoff,Probable Cause,30-06-1994,Aero Commander - 500,1993
286,32317,20001211X12002,Accident,LAX93LA140,1993-03-07,"OAKLAND, CA",United States,,,OAK,OAKLAND,Non-Fatal,Destroyed,,N494,Beech,C-45H,No,2.0,Reciprocating,,,Ferry,,0.0,2.0,0.0,0.0,VMC,Takeoff,Probable Cause,15-11-1993,Beech - C-45H,1993
290,32321,20001211X11939,Incident,CHI93IA115,1993-03-07,"CHICAGO, IL",United States,,,ORD,O'HARE INTERNATIONAL,Incident,,,N364MQ,De Havilland,SHD-6,No,2.0,Turbo Prop,,SCHD,Unknown,Simmons,0.0,0.0,0.0,3.0,IMC,Approach,Probable Cause,19-12-1994,De Havilland - SHD-6,1993
299,32330,20001211X11941,Incident,CHI93IA125,1993-03-08,"CHICAGO, IL",United States,,,,,Incident,,,N248AT,Atr,ATR 72,No,2.0,Turbo Prop,,SCHD,Unknown,Simmons,0.0,0.0,0.0,4.0,VMC,Takeoff,Probable Cause,02-12-1994,Atr - ATR 72,1993
303,32334,20001211X11949,Accident,CHI93LA107,1993-03-08,"CHICAGO, IL",United States,,,CGX,MERRILL C. MEIGS,Non-Fatal,Substantial,,N33CS,Beech,B90,No,2.0,Turbo Prop,,,Positioning,,0.0,0.0,0.0,4.0,VMC,Taxi,Probable Cause,03-11-1993,Beech - B90,1993
306,32337,20001211X11972,Accident,FTW93FA100,1993-03-09,"HOUSTON, TX",United States,,,,,Non-Fatal,,,N79754,Boeing,727-200,No,3.0,Turbo Fan,,SCHD,Unknown,"Continental Airlines, Inc.",0.0,1.0,0.0,45.0,VMC,Cruise,Probable Cause,18-03-1994,Boeing - 727-200,1993
310,32341,20001211X11996,Accident,LAX93FA149,1993-03-11,"EAGLE MOUNTAIN, CA",United States,,,,,Fatal(3),Destroyed,,N2656N,Cessna,421C,No,2.0,Reciprocating,,,Positioning,,3.0,0.0,0.0,0.0,VMC,Climb,Probable Cause,24-06-1994,Cessna - 421C,1993
312,32343,20001211X12005,Accident,LAX93LA146,1993-03-11,"AVALON, CA",United States,,,AVX,CATALINA,Non-Fatal,Substantial,,N1808H,Piper,PA-34-200T,No,2.0,Reciprocating,,,Personal,,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,30-06-1994,Piper - PA-34-200T,1993
315,32346,20001211X11935,Accident,CHI93FA109,1993-03-11,"SAINT LOUIS, MO",United States,,,STL,LAMBERT-ST. LOUIS INTL,Non-Fatal,Substantial,,N978Z,Mcdonnell Douglas,DC-9-31,No,2.0,Turbo Fan,,,Instructional,,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,18-08-1994,Mcdonnell Douglas - DC-9-31,1993
319,32350,20001211X11942,Incident,CHI93IA126,1993-03-13,"CHICAGO, IL",United States,,,ORD,CHICAGO-O'HARE INT'L,Incident,,,N426MQ,Atr,ATR 42,No,2.0,Turbo Prop,,SCHD,Unknown,Simmons,0.0,0.0,0.0,3.0,IMC,Takeoff,Probable Cause,30-09-1994,Atr - ATR 42,1993
320,32351,20001211X11938,Incident,CHI93IA110,1993-03-13,"CHICAGO, IL",United States,,,ORD,O'HARE INT'L,Incident,Minor,,N895US,Fokker,100,No,2.0,Turbo Fan,,SCHD,Unknown,Usair (dba: Usair),0.0,0.0,0.0,103.0,VMC,Landing,Probable Cause,10-05-1994,Fokker - 100,1993
324,32355,20001211X11973,Accident,FTW93FA103,1993-03-14,"GRANTS, NM",United States,,,,,Fatal(4),Destroyed,,N4320W,Beech,58,No,2.0,Reciprocating,,NSCH,Unknown,(dba: Guinn Flying Service),4.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,01-08-1994,Beech - 58,1993
329,32360,20001211X12035,Incident,NYC93IA059,1993-03-15,"NEWARK, NJ",United States,,,EWR,NEWARK INTL,Incident,,,N14212,Boeing,737-130,No,2.0,Turbo Fan,,SCHD,Unknown,Continental Airlines,0.0,0.0,0.0,61.0,VMC,Takeoff,Probable Cause,10-05-1994,Boeing - 737-130,1993
337,32368,20001211X11985,Accident,FTW93LA106,1993-03-15,"MENA, AR",United States,,,,,Non-Fatal,Substantial,,N4341P,Piper,PA-23-160,No,2.0,Reciprocating,,,Personal,,0.0,2.0,1.0,0.0,IMC,Approach,Probable Cause,10-05-1994,Piper - PA-23-160,1993
338,32369,20001211X11997,Accident,LAX93FA153,1993-03-16,"CARPENTERIA, CA",United States,,,,,Fatal(6),Destroyed,,N55334,Piper,PA-34-200,No,2.0,Reciprocating,,,Personal,,6.0,0.0,0.0,0.0,VMC,Unknown,Probable Cause,22-06-1994,Piper - PA-34-200,1993
342,32373,20001211X11912,Accident,BFO93FA049,1993-03-17,"BECKLEY, WV",United States,,,BKW,RALEIGH COUNTY,Non-Fatal,Substantial,,N159PC,British Aerospace,BAE 3101,No,2.0,Turbo Prop,,SCHD,Unknown,Usair Express (dba: Usair Express),0.0,0.0,1.0,3.0,IMC,Approach,Probable Cause,10-05-1994,British Aerospace - BAE 3101,1993
345,32376,20001211X11931,Accident,BFO93LA058,1993-03-17,"TETERBORO, NJ",United States,,,TEB,TETERBORO,Non-Fatal,Substantial,,N304AF,Learjet,35,No,2.0,Turbo Fan,,,Executive/corporate,,0.0,0.0,0.0,5.0,IMC,Landing,Probable Cause,10-05-1994,Learjet - 35,1993
353,32384,20001211X12026,Accident,MIA93LA087,1993-03-19,"OPA-LOCKA, FL",United States,,,OPF,OPA-LOCKA,Non-Fatal,Substantial,,N6383X,Cessna,402B,No,2.0,Reciprocating,,,Personal,,0.0,0.0,0.0,4.0,VMC,Takeoff,Probable Cause,10-02-1994,Cessna - 402B,1993
364,32395,20001211X11943,Incident,CHI93IA127,1993-03-21,"CHICAGO, IL",United States,,,ORD,O'HARE INT'L AIRPORT,Incident,,,N374MQ,De Havilland,SHD-6,No,2.0,Turbo Prop,,SCHD,Unknown,Simmons,0.0,0.0,0.0,3.0,VMC,Climb,Probable Cause,02-12-1994,De Havilland - SHD-6,1993
368,32399,20001211X12036,Incident,NYC93IA065,1993-03-22,"NEWARK, NJ",United States,,,EWR,NEWARK INTERNATIONAL,Incident,,,N107FE,Boeing,727-100,No,3.0,Turbo Fan,,SCHD,Unknown,"Federal Express, Inc.",0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,26-08-1994,Boeing - 727-100,1993
